company_name,chinese_partner,industry,sector,deal_type,deal_details,status,report_date,source
Sun Pharma,China Medical System,Pharmaceuticals,Healthcare,Distribution Agreement,Commercializing psoriasis drug Ilumya in Greater China,Confirmed,2025-08-20,News Point
Tata Motors,Jaguar Land Rover China,Automotive,Manufacturing,Platform Licensing,Leveraging Freelander platform from Chery-JLR JV in China,Confirmed,2026-06-03,Reuters
Cipla,Kidd Pharma (CSPC),Pharmaceuticals,Healthcare,JV,Cipla acquired partner's stake in September 2025 for full control,Completed,2025-09-01,News Point
Dr Reddy's Laboratories,Kunshan Rotam Reddy,Pharmaceuticals,Healthcare,JV,Marketing and distribution partnership in China,Confirmed,2025-08-20,News Point
Samvardhana Motherson,JMCG,Automotive,Manufacturing,JV,Expanding manufacturing capabilities through JV,Confirmed,2025-08-20,News Point
Uno Minda,Shenyang Jiuan Auto Lamp,Automotive,Manufacturing,JV,Manufacturing automotive lamps,Confirmed,2025-08-20,News Point
Aurobindo Pharma,Luoxin Auroviris Pharm,Pharmaceuticals,Healthcare,JV,Commercializing medicines in China,Confirmed,2025-08-20,News Point
Glenmark Pharma,Harbour BioMed,Pharmaceuticals,Healthcare,Research Partnership,Immunology and innovative therapies collaboration,Confirmed,2025-08-20,News Point
Mahindra & Mahindra,Multiple Chinese,Automotive,Manufacturing,Operations,Operations in China for tractor business,Active,2024-12-01,Company Data
TCS,Multiple Chinese,IT Services,Technology,Operations,Operations in China with multiple clients,Active,2024-12-01,Company Data
NIIT,Multiple Chinese,IT Training,Education,Operations,Training operations in China,Active,2024-12-01,Company Data
Huawei India,Huawei,Telecom,Technology,R&D Center,Bangalore R&D center with Chinese parent,Active,2024-12-01,Company Data
Lenovo India,Lenovo,Technology,Retail,Operations,Full operations with Chinese parent,Active,2024-12-01,Company Data
Zomato,Multiple Chinese,Food Tech,Consumer,Technology Partnership,Technology partnerships with Chinese firms,Active,2024-12-01,Company Data
Hero MotoCorp,Multiple Chinese,Automotive,Manufacturing,Sourcing,Component sourcing from Chinese suppliers,Active,2024-12-01,Industry Reports
Bajaj Auto,Multiple Chinese,Automotive,Manufacturing,Sourcing,Component sourcing from Chinese suppliers,Active,2024-12-01,Industry Reports
TVS Motor,Multiple Chinese,Automotive,Manufacturing,Sourcing,Component sourcing for EV components,Active,2024-12-01,Industry Reports
Eicher Motors,Multiple Chinese,Automotive,Manufacturing,Sourcing,Component sourcing for commercial vehicles,Active,2024-12-01,Industry Reports
Maruti Suzuki,Multiple Chinese,Automotive,Manufacturing,Sourcing,Component sourcing from Chinese vendors,Active,2024-12-01,Industry Reports
Hyundai India,Multiple Chinese,Automotive,Manufacturing,Sourcing,Component sourcing from Chinese suppliers,Active,2024-12-01,Industry Reports
Kia India,Multiple Chinese,Automotive,Manufacturing,Sourcing,Component sourcing from Chinese vendors,Active,2024-12-01,Industry Reports
Volvo India,Multiple Chinese,Automotive,Manufacturing,Sourcing,Component sourcing from Chinese suppliers,Active,2024-12-01,Industry Reports
BMW India,Multiple Chinese,Automotive,Manufacturing,Sourcing,Component sourcing from Chinese vendors,Active,2024-12-01,Industry Reports
Mercedes-Benz India,Multiple Chinese,Automotive,Manufacturing,Sourcing,Component sourcing from Chinese suppliers,Active,2024-12-01,Industry Reports
Foxconn India,Foxconn,Electronics,Manufacturing,R&D Center,Bangalore R&D center; expanding manufacturing,Active,2024-12-01,Company Data
Xiaomi India,Xiaomi,Consumer Electronics,Retail,Operations,Full operations with Chinese parent,Active,2024-12-01,Company Data
Oppo India,Oppo,Consumer Electronics,Retail,Operations,Full operations with Chinese parent,Active,2024-12-01,Company Data
Vivo India,Vivo,Consumer Electronics,Retail,Operations,Full operations with Chinese parent,Active,2024-12-01,Company Data
OnePlus India,OnePlus,Consumer Electronics,Retail,Operations,Full operations with Chinese parent,Active,2024-12-01,Company Data
Realme India,Realme,Consumer Electronics,Retail,Operations,Full operations with Chinese parent,Active,2024-12-01,Company Data
Tecno India,Tecno,Consumer Electronics,Retail,Operations,Full operations with Chinese parent,Active,2024-12-01,Company Data
Infinix India,Infinix,Consumer Electronics,Retail,Operations,Full operations with Chinese parent,Active,2024-12-01,Company Data
Alibaba India,Alibaba Group,E-commerce,Technology,R&D Center,R&D operations in India,Active,2024-12-01,Company Data
Tencent India,Tencent,Technology,Technology,Investment,Strategic investments in Indian tech startups,Active,2024-12-01,Company Data
BYD India,BYD,EV Manufacturing,Automotive,Operations,Selling passenger cars and electric buses,Active,2024-12-01,Company Data
MG Motor India,SAIC Motor,EV Manufacturing,Automotive,Operations,JV with JSW Group,Active,2024-12-01,Company Data
Great Wall Motors India,GWM,EV Manufacturing,Automotive,Operations,Paused operations; exploring re-entry,Inactive,2024-12-01,Company Data
ZTE India,ZTE,Telecom,Technology,Operations,Telecom equipment and phones,Active,2024-12-01,Company Data
Hikvision India,Hikvision,Electronics,Technology,R&D Center,Surveillance and security products,Active,2024-12-01,Company Data
Dahua India,Dahua,Electronics,Technology,R&D Center,Surveillance and security products,Active,2024-12-01,Company Data
DJI India,DJI,Drones,Technology,R&D Center,Drones and aerial imaging,Active,2024-12-01,Company Data
TikTok India,ByteDance,Social Media,Technology,Operations,Banned in India,Inactive,2024-12-01,Company Data
Shein India,Shein,E-commerce,Retail,Operations,Banned; exploring re-entry with Reliance,Inactive,2024-12-01,Company Data
Club Factory,Club Factory,E-commerce,Retail,Operations,Banned in India,Inactive,2024-12-01,Company Data
Romwe,Romwe,E-commerce,Retail,Operations,Banned in India,Inactive,2024-12-01,Company Data
ShareChat,Multiple Chinese,Social Media,Technology,Investment,Backed by Chinese investors including Shunwei Capital,Active,2024-12-01,Company Data
DailyHunt,Multiple Chinese,News,Technology,Investment,Backed by Chinese investors,Active,2024-12-01,Company Data
Meesho,Multiple Chinese,E-commerce,Retail,Investment,Backed by Chinese investors including Sequoia China,Active,2024-12-01,Company Data
Lenskart,Multiple Chinese,E-commerce,Retail,Investment,Backed by Chinese investors,Active,2024-12-01,Company Data
Ola Electric,Multiple Chinese,EV Manufacturing,Automotive,Sourcing,Battery sourcing from Chinese suppliers,Active,2024-12-01,Industry Reports
Ather Energy,Multiple Chinese,EV Manufacturing,Automotive,Sourcing,Component sourcing from Chinese suppliers,Active,2024-12-01,Industry Reports
Ampere Vehicles,Multiple Chinese,EV Manufacturing,Automotive,Sourcing,Component sourcing from Chinese suppliers,Active,2024-12-01,Industry Reports
Bajaj Auto,Multiple Chinese,EV Manufacturing,Automotive,Sourcing,EV component sourcing from China,Active,2024-12-01,Industry Reports
Hero Electric,Multiple Chinese,EV Manufacturing,Automotive,Sourcing,Battery sourcing from Chinese suppliers,Active,2024-12-01,Industry Reports
Cabot India,Cabot Corporation,Chemicals,Industrial,JV,Partnership with Chinese chemical firm,Active,2024-12-01,Company Data
BASF India,BASF China,Chemicals,Industrial,JV,Partnership in specialty chemicals,Active,2024-12-01,Company Data
Atul Ltd,Multiple Chinese,Chemicals,Industrial,Sourcing,Importing intermediates from China,Active,2024-12-01,Industry Reports
Aarti Industries,Multiple Chinese,Chemicals,Industrial,Sourcing,Importing raw materials from China,Active,2024-12-01,Industry Reports
Deepak Nitrite,Multiple Chinese,Chemicals,Industrial,Sourcing,Importing intermediates from China,Active,2024-12-01,Industry Reports
SRF Ltd,Multiple Chinese,Chemicals,Industrial,Sourcing,Importing fluorochemicals from China,Active,2024-12-01,Industry Reports
Gujarat Fluorochemicals,Multiple Chinese,Chemicals,Industrial,Sourcing,Importing raw materials from China,Active,2024-12-01,Industry Reports
Navin Fluorine,Multiple Chinese,Chemicals,Industrial,Sourcing,Importing raw materials from China,Active,2024-12-01,Industry Reports
Tata Steel,Multiple Chinese,Steel,Industrial,Sourcing,Coking coal and equipment imports,Active,2024-12-01,Industry Reports
JSW Steel,Multiple Chinese,Steel,Industrial,Sourcing,Coking coal imports from China,Active,2024-12-01,Industry Reports
Jindal Steel,Multiple Chinese,Steel,Industrial,Sourcing,Coking coal imports from China,Active,2024-12-01,Industry Reports
ArcelorMittal Nippon,Multiple Chinese,Steel,Industrial,Sourcing,Coking coal and equipment,Active,2024-12-01,Industry Reports
SAIL,Multiple Chinese,Steel,Industrial,Sourcing,Equipment procurement from China,Active,2024-12-01,Industry Reports
Power Grid Corporation,Multiple Chinese,Energy,Infrastructure,Sourcing,Transformer and equipment imports,Active,2024-12-01,Industry Reports
NTPC,Multiple Chinese,Energy,Infrastructure,Sourcing,Solar equipment imports,Active,2024-12-01,Industry Reports
Adani Green Energy,Multiple Chinese,Energy,Infrastructure,Sourcing,Solar panel imports,Active,2024-12-01,Industry Reports
Tata Power,Multiple Chinese,Energy,Infrastructure,Sourcing,Solar equipment imports,Active,2024-12-01,Industry Reports
ReNew Power,Multiple Chinese,Energy,Infrastructure,Sourcing,Solar equipment imports,Active,2024-12-01,Industry Reports
Sterlite Technologies,Multiple Chinese,Telecom,Technology,Sourcing,Optical fiber imports,Active,2024-12-01,Industry Reports
HFCL,Multiple Chinese,Telecom,Technology,Sourcing,Telecom equipment imports,Active,2024-12-01,Industry Reports
Tejas Networks,Multiple Chinese,Telecom,Technology,Sourcing,Component sourcing from China,Active,2024-12-01,Industry Reports
Bharat Electronics,Multiple Chinese,Defense,Industrial,Sourcing,Component sourcing from China,Active,2024-12-01,Industry Reports
Hindustan Aeronautics,Multiple Chinese,Defense,Industrial,Sourcing,Component sourcing,Active,2024-12-01,Industry Reports
Cochin Shipyard,Multiple Chinese,Shipbuilding,Industrial,Sourcing,Equipment and component imports,Active,2024-12-01,Industry Reports
Mazagon Dock,Multiple Chinese,Shipbuilding,Industrial,Sourcing,Equipment imports,Active,2024-12-01,Industry Reports
Garden Reach Shipbuilders,Multiple Chinese,Shipbuilding,Industrial,Sourcing,Equipment imports,Active,2024-12-01,Industry Reports
L&T,Multiple Chinese,Infrastructure,Construction,Sourcing,Equipment imports,Active,2024-12-01,Industry Reports
Gammon India,Multiple Chinese,Infrastructure,Construction,Sourcing,Equipment imports,Active,2024-12-01,Industry Reports
Punj Lloyd,Multiple Chinese,Infrastructure,Construction,Sourcing,Equipment imports,Active,2024-12-01,Industry Reports
IRB Infrastructure,Multiple Chinese,Infrastructure,Construction,Sourcing,Equipment imports,Active,2024-12-01,Industry Reports
