industry_group,industry,sector,stock_code,company_name,key_players,chinese_presence_level,risk_exposure
Media,Cinema,Entertainment,INOX,INOX Leisure,Content_Licensing,Low,Low
Healthcare,Hospitals,Healthcare,FORTIS,Fortis Healthcare,Medical_Equipment_Imports,Medium,Moderate
Healthcare,Hospitals,Healthcare,APOLLO,Apollo Hospitals,Medical_Equipment_Imports,Medium,Moderate
Healthcare,Hospitals,Healthcare,MAXHEALTH,Max Healthcare,Medical_Equipment_Imports,Medium,Moderate
Healthcare,Hospitals,Healthcare,NARAYANA,Narayana Health,Medical_Equipment_Imports,Medium,Moderate
Pharmaceuticals,Manufacturing,Healthcare,MANKIND,Mankind Pharma,API_Imports,High,High
Pharmaceuticals,Manufacturing,Healthcare,TORRENT,Torrent Pharma,API_Imports,High,High
Pharmaceuticals,Manufacturing,Healthcare,LUPIN,Lupin,API_Imports,High,High
Pharmaceuticals,Manufacturing,Healthcare,CADILA,Cadila Healthcare,API_Imports,High,High
Pharmaceuticals,Biotechnology,Healthcare,BIOCON,Biocon,API_Imports,High,High
Pharmaceuticals,Manufacturing,Healthcare,DIVISLAB,Divis Laboratories,API_Imports,High,High
